state,county,quantity,total_cost,year,ship_date,federal_supply_category_name,recode
MA,HAMPDEN,1,1278,2006,11/28/06,WEAPONS,1
MA,MIDDLESEX,1,1278,2006,11/28/06,WEAPONS,1
MA,MIDDLESEX,1,1278,2006,11/28/06,WEAPONS,1
MA,HAMPDEN,1,720,2006,11/28/06,WEAPONS,1
MA,HAMPDEN,1,720,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BARNSTABLE,1,499,2006,11/28/06,WEAPONS,1
MA,BRISTOL,1,499,2006,5/3/06,WEAPONS,1
MA,BRISTOL,1,499,2006,5/3/06,WEAPONS,1
MA,BRISTOL,1,499,2006,5/3/06,WEAPONS,1
MA,BRISTOL,1,499,2006,8/4/06,WEAPONS,1
MA,BRISTOL,1,499,2006,8/4/06,WEAPONS,1
MA,BRISTOL,1,499,2006,8/4/06,WEAPONS,1
MA,BRISTOL,1,499,2006,8/4/06,WEAPONS,1
MA,BRISTOL,1,499,2006,8/4/06,WEAPONS,1
MA,BRISTOL,1,499,2006,8/4/06,WEAPONS,1
MA,BRISTOL,1,499,2006,11/28/06,WEAPONS,1
MA,BRISTOL,1,499,2006,11/28/06,WEAPONS,1
MA,BRISTOL,1,499,2006,11/28/06,WEAPONS,1
MA,BRISTOL,1,499,2006,11/28/06,WEAPONS,1
MA,BRISTOL,1,499,2006,11/28/06,WEAPONS,1
MA,ESSEX,1,499,2006,11/28/06,WEAPONS,1
MA,ESSEX,1,499,2006,11/28/06,WEAPONS,1
MA,ESSEX,1,499,2006,11/28/06,WEAPONS,1
MA,ESSEX,1,499,2006,11/28/06,WEAPONS,1
